Año;Autoridad Portuaria;Operacion;Transito;Graneles líquidos;Graneles sólidos;Mercancía general convencional;Mercancía general en contenedor;Mercancía general;Pesca;Avituallamiento;Tráfico interior;TRÁFICO TOTAL;;;
1963;Huelva;Desembarque;Incluido tránsito;257.083;149.125;57.078;0;57.078;36.810;0;20.369;520.465;;;
1963;Huelva;Embarque;Incluido tránsito;0;1.852.281;73.561;0;73.561;0;118.176;534;2.044.552;;;
1963;Las Palmas;Desembarque;Incluido tránsito;1.959.002;195.121;560.040;0;560.040;104.532;0;0;2.818.695;;;
1963;Las Palmas;Embarque;Incluido tránsito;0;20.904;460.106;0;460.106;0;2.348.411;0;2.829.421;;;
1963;Marín y Ría de Pontevedra;Desembarque;Incluido tránsito;0;60.555;41.202;0;41.202;10.374;0;38.125;150.256;;;
1963;Marín y Ría de Pontevedra;Embarque;Incluido tránsito;0;20.770;44.892;0;44.892;0;54.735;0;120.397;;;
1963;Melilla;Desembarque;Incluido tránsito;24.769;8.474;78.967;0;78.967;7.108;0;0;119.318;;;
1963;Melilla;Embarque;Incluido tránsito;0;848.281;28.427;0;28.427;0;13.854;0;890.562;;;
1963;Málaga;Desembarque;Incluido tránsito;266.181;369.118;300.653;0;300.653;20.297;0;0;956.249;;;
1963;Málaga;Embarque;Incluido tránsito;5.816;43.657;128.967;0;128.967;0;79.943;0;258.383;;;
1963;Pasaia;Desembarque;Incluido tránsito;360.403;659.450;541.789;0;541.789;72.006;0;0;1.633.648;;;
1963;Pasaia;Embarque;Incluido tránsito;0;152.293;111.650;0;111.650;0;133.195;0;397.138;;;
1963;Puerto de Santa María;Desembarque;Incluido tránsito;0;47.430;15.059;0;15.059;6.017;0;0;68.506;;;
1963;Puerto de Santa María;Embarque;Incluido tránsito;0;14.993;21.139;0;21.139;0;32.868;2.372;71.372;;;
1963;San Esteban de Pravia;Desembarque;Incluido tránsito;0;2.588;6.983;0;6.983;14.557;0;0;24.128;;;
1963;San Esteban de Pravia;Embarque;Incluido tránsito;0;979.590;422;0;422;0;35.687;0;1.015.699;;;
1963;Santa Cruz de Tenerife;Desembarque;Incluido tránsito;5.135.161;238.103;402.771;0;402.771;17.644;0;0;5.793.679;;;
1963;Santa Cruz de Tenerife;Embarque;Incluido tránsito;3.466.822;30.323;589.099;0;589.099;0;1.299.437;0;5.385.681;;;
1963;Santander;Desembarque;Incluido tránsito;487.176;770.916;286.239;0;286.239;7.107;0;0;1.551.438;;;
1963;Santander;Embarque;Incluido tránsito;16.329;200.608;138.927;0;138.927;0;96.656;0;452.520;;;
1963;Sevilla;Desembarque;Incluido tránsito;505.990;626.473;307.615;0;307.615;1.278;0;55.131;1.496.487;;;
1963;Sevilla;Embarque;Incluido tránsito;4.192;327.098;234.850;0;234.850;0;32.445;0;598.585;;;
1963;Tarragona;Desembarque;Incluido tránsito;519.655;762.467;230.628;0;230.628;3.665;0;0;1.516.415;;;
1963;Tarragona;Embarque;Incluido tránsito;7.551;29.796;128.686;0;128.686;0;47.251;0;213.284;;;
1963;Valencia;Desembarque;Incluido tránsito;825.619;891.913;486.196;0;486.196;1.037;0;0;2.204.765;;;
1963;Valencia;Embarque;Incluido tránsito;18.791;132.749;514.837;0;514.837;0;58.659;0;725.036;;;
1963;Vigo;Desembarque;Incluido tránsito;232.497;86.985;201.751;0;201.751;97.356;0;18.828;637.417;;;
1963;Vigo;Embarque;Incluido tránsito;0;231.199;52.047;0;52.047;0;388.969;14.371;686.586;;;
1963;Vilagarcía;Desembarque;Incluido tránsito;0;24.542;33.875;0;33.875;22;0;16.239;74.678;;;
1963;Vilagarcía;Embarque;Incluido tránsito;0;1.158;84.383;0;84.383;0;0;8.300;93.841;;;
1964;A Coruña;Desembarque;Incluido tránsito;1.618.225;201.623;139.025;0;139.025;85.120;0;3.391;2.047.384;;;
1964;A Coruña;Embarque;Incluido tránsito;1.095.113;578.850;40.327;0;40.327;0;279.161;52;1.993.503;;;
1964;Alicante;Desembarque;Incluido tránsito;137.166;399.184;287.284;0;287.284;9.465;0;0;833.099;;;
1964;Alicante;Embarque;Incluido tránsito;0;53.703;191.616;0;191.616;0;40.836;0;286.155;;;
1964;Almería;Desembarque;Incluido tránsito;161.039;176.741;51.919;0;51.919;8.284;0;0;397.983;;;
1964;Almería;Embarque;Incluido tránsito;758;753.962;35.491;0;35.491;0;10.272;0;800.483;;;
1964;Avilés;Desembarque;Incluido tránsito;4.956;1.620.436;284.502;0;284.502;10.046;0;937;1.920.877;;;
1964;Avilés;Embarque;Incluido tránsito;0;906.368;654.450;0;654.450;0;55.963;937;1.617.718;;;
1964;Bahía de Algeciras;Desembarque;Incluido tránsito;99.651;2.535;65.559;0;65.559;40.713;0;0;208.458;;;
1964;Bahía de Algeciras;Embarque;Incluido tránsito;75.109;0;66.990;0;66.990;0;66.445;0;208.544;;;
1964;Bahía de Cádiz;Desembarque;Incluido tránsito;0;50.096;150.937;0;150.937;41.158;0;2.268;244.459;;;
1964;Bahía de Cádiz;Embarque;Incluido tránsito;0;19.771;136.229;0;136.229;0;239.125;2.589;397.714;;;
1964;Baleares;Desembarque;Incluido tránsito;197.991;299.301;362.305;0;362.305;2.236;0;0;861.833;;;
1964;Baleares;Embarque;Incluido tránsito;0;31.940;148.788;0;148.788;0;87.284;0;268.012;;;
1964;Barcelona;Desembarque;Incluido tránsito;1.499.881;1.408.282;1.938.908;0;1.938.908;3.956;0;0;4.851.027;;;
1964;Barcelona;Embarque;Incluido tránsito;11.569;432.076;374.013;0;374.013;0;230.634;0;1.048.292;;;
1964;Bilbao;Desembarque;Incluido tránsito;651.715;2.729.118;1.127.684;0;1.127.684;2.958;0;346.795;4.858.270;;;
1964;Bilbao;Embarque;Incluido tránsito;61.980;744.789;295.923;0;295.923;0;162.715;426.270;1.691.677;;;
1964;C.A.G.P.;Desembarque;Incluido tránsito;61.757;504.609;603.446;0;603.446;278.060;0;21.613;1.469.485;;;
1964;C.A.G.P.;Embarque;Incluido tránsito;6.301;2.004.707;839.148;0;839.148;0;175.639;13.360;3.039.155;;;
1964;Cartagena;Desembarque;Incluido tránsito;5.852.049;406.402;87.657;0;87.657;1.790;0;0;6.347.898;;;
1964;Cartagena;Embarque;Incluido tránsito;4.142.566;268.088;243.237;0;243.237;0;367.457;0;5.021.348;;;
1964;Castellón;Desembarque;Incluido tránsito;0;74.779;48.389;0;48.389;10.052;0;0;133.220;;;
1964;Castellón;Embarque;Incluido tránsito;0;15.011;17.676;0;17.676;0;10.150;0;42.837;;;
1964;Ceuta;Desembarque;Incluido tránsito;814.463;18.133;75.779;0;75.779;3.549;0;0;911.924;;;
